ms,type,egtC,dEgtCps,rpm,fRpm,rRpm,pumpUs,starterUs,ign,valve1,valve2,event
3713,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"BOOT SD_LOG_READY"
7755,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"EV:A05_ALL_OFF"
7757,DATA,43.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
8256,DATA,43.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
8756,DATA,43.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
9256,DATA,43.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
9756,DATA,43.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
10256,DATA,43.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
10756,DATA,43.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
11256,DATA,43.7,2.1, 0, 0, 0,1000,1000,0,0,0,""
11756,DATA,43.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
