ms,type,mode,stage,egtC,dEgtCps,rpm,targetRpm,pumpUs,flowMlMin,fuelTargetUs,starterUs,ign,valve1,valve2,throttlePct,abortReason,event
543,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","CONFIG LOADED from SD"
4099,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT SD_LOG_READY"
4100,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT Test ECU V1 WebUI/TestWizard"
4203,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","WEB ON ECU_TestV1 http://192.168.4.1"
88229,EVENT,WAITING,NONE,40.2,0.0,9955,0,1000,0.0,1000,1000,0,0,0,0,"NONE","SAFE OFF"
170375,EVENT,WAITING,NONE,40.2,1.9,178042,0,1000,0.0,1000,1000,0,0,0,0,"NONE","SAFE OFF"
223054,EVENT,WAITING,NONE,39.7,0.0,175953,0,1000,0.0,1000,1000,0,0,0,0,"NONE","SAFE OFF"
