ms,type,egtC,dEgtCps,rpm,fRpm,rRpm,pumpUs,starterUs,ign,valve1,valve2,event
4699,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"BOOT SD_LOG_READY"
8740,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"EV:A05_ALL_OFF"
8741,DATA,39.5,0.0, 0, 0,600,1000,1000,0,0,0,""
9241,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
9741,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
10241,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
10741,DATA,39.2,-2.1, 0, 0, 0,1000,1000,0,0,0,""
11241,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
11741,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
12241,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
12741,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
13241,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
13741,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
14241,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
14741,DATA,39.2,-2.1, 0, 0, 0,1000,1000,0,0,0,""
15241,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
15741,DATA,39.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
16241,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
16741,DATA,39.2,-2.1, 0, 0, 0,1000,1000,0,0,0,""
17241,DATA,39.5,2.1, 0, 0, 0,1000,1000,0,0,0,""
17741,DATA,39.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
18241,DATA,39.2,-2.1, 0, 0, 0,1000,1000,0,0,0,""
18741,DATA,39.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
19241,DATA,39.5,2.1, 0, 0, 0,1000,1000,0,0,0,""
