ms,type,egtC,dEgtCps,rpm,fRpm,rRpm,pumpUs,starterUs,ign,valve1,valve2,event
4543,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"BOOT SD_LOG_READY"
8584,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"EV:A05_ALL_OFF"
8689,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"CONFIG_LOADED"
8778,DATA,33.7,0.0, 0, 0,169800,1000,1000,0,0,0,""
9278,DATA,33.7,-2.1, 0, 0,179996,1000,1000,0,0,0,""
9778,DATA,33.7,0.0, 0, 0,178193,1000,1000,0,0,0,""
10278,DATA,33.7,0.0, 0, 0,179407,1000,1000,0,0,0,""
10778,DATA,33.7,0.0, 0, 0,178195,1000,1000,0,0,0,""
11278,DATA,33.7,-2.1, 0, 0,179989,1000,1000,0,0,0,""
11778,DATA,33.7,-2.1, 0, 0,178189,1000,1000,0,0,0,""
12278,DATA,33.7,0.0, 0, 0,180013,1000,1000,0,0,0,""
12778,DATA,33.7,0.0, 0, 0,178202,1000,1000,0,0,0,""
13278,DATA,33.7,0.0, 0, 0,180025,1000,1000,0,0,0,""
13527,EVENT,33.7,0.0, 0, 0,178821,1000,1000,0,0,0,"STARTER 1200"
13804,DATA,33.7,0.0,1592,1592,2000,1000,1071,0,0,0,""
14324,DATA,33.7,2.1,1553,1580,1500,1000,1171,0,0,0,""
14824,DATA,33.5,0.0,1735,1587,178807,1000,1200,0,0,0,""
15324,DATA,33.7,2.1,942,1406,180578,1000,1200,0,0,0,""
15824,DATA,33.5,-2.1,338,903,178821,1000,1200,0,0,0,""
16324,DATA,33.7,0.0,113,496,181191,1000,1200,0,0,0,""
16824,DATA,33.5,0.0, 0, 0,178798,1000,1200,0,0,0,""
17028,EVENT,33.7,2.1, 0, 0,191396,1000,1200,0,0,0,"STARTER OFF"
17344,DATA,33.7,0.0,2407,2474,1500,1000,1119,0,0,0,""
17864,DATA,33.2,-2.1,1971,2299,1500,1000,1024,0,0,0,""
18364,DATA,33.7,0.0,1666,2003,180018,1000,1000,0,0,0,""
18864,DATA,34.0,0.0,720,1455,177614,1000,1000,0,0,0,""
19364,DATA,33.7,-2.1,250,854,180623,1000,1000,0,0,0,""
19864,DATA,34.0,0.0,83,449,178807,1000,1000,0,0,0,""
20364,DATA,34.0,2.1, 0, 0,180002,1000,1000,0,0,0,""
20864,DATA,33.7,0.0, 0, 0,179398,1000,1000,0,0,0,""
21364,DATA,33.7,-2.1, 0, 0,180605,1000,1000,0,0,0,""
21864,DATA,33.7,0.0, 0, 0,178198,1000,1000,0,0,0,""
22364,DATA,33.7,0.0, 0, 0,180000,1000,1000,0,0,0,""
22864,DATA,33.7,-2.1, 0, 0,178807,1000,1000,0,0,0,""
23364,DATA,33.7,-2.1, 0, 0,180029,1000,1000,0,0,0,""
23864,DATA,33.7,0.0, 0, 0,180000,1000,1000,0,0,0,""
24364,DATA,33.7,0.0, 0, 0,180596,1000,1000,0,0,0,""
24864,DATA,33.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
25364,DATA,33.7,0.0, 0, 0,2400,1000,1000,0,0,0,""
25864,DATA,33.7,0.0, 0, 0,2400,1000,1000,0,0,0,""
26364,DATA,33.7,0.0, 0, 0,2400,1000,1000,0,0,0,""
26864,DATA,33.7,-2.1, 0, 0,4200,1000,1000,0,0,0,""
27364,DATA,33.7,0.0, 0, 0,600,1000,1000,0,0,0,""
27864,DATA,33.7,-2.1, 0, 0,1200,1000,1000,0,0,0,""
28364,DATA,33.7,0.0, 0, 0,3600,1000,1000,0,0,0,""
28864,DATA,33.7,0.0, 0, 0,4799,1000,1000,0,0,0,""
29364,DATA,33.7,-2.1, 0, 0, 0,1000,1000,0,0,0,""
29864,DATA,33.7,0.0, 0, 0,3600,1000,1000,0,0,0,""
30364,DATA,33.7,-2.1, 0, 0,1200,1000,1000,0,0,0,""
30864,DATA,33.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
31364,DATA,34.0,2.1, 0, 0,3000,1000,1000,0,0,0,""
31864,DATA,33.7,0.0, 0, 0,3600,1000,1000,0,0,0,""
32364,DATA,33.7,-2.1, 0, 0,600,1000,1000,0,0,0,""
32864,DATA,33.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
33364,DATA,33.7,0.0, 0, 0, 0,1000,1000,0,0,0,""
33864,DATA,33.7,0.0, 0, 0,179400,1000,1000,0,0,0,""
34364,DATA,33.7,0.0, 0, 0,181773,1000,1000,0,0,0,""
34864,DATA,33.7,0.0, 0, 0,179404,1000,1000,0,0,0,""
35364,DATA,33.7,0.0, 0, 0,181198,1000,1000,0,0,0,""
35864,DATA,33.7,0.0, 0, 0,178795,1000,1000,0,0,0,""
36364,DATA,33.7,0.0, 0, 0,180000,1000,1000,0,0,0,""
36864,DATA,33.7,0.0, 0, 0,178814,1000,1000,0,0,0,""
37364,DATA,34.0,2.1, 0, 0,179380,1000,1000,0,0,0,""
37864,DATA,33.7,0.0, 0, 0,177614,1000,1000,0,0,0,""
38364,DATA,33.7,-2.1, 0, 0,178820,1000,1000,0,0,0,""
38474,EVENT,33.7,0.0, 0, 0,197988,1000,1000,0,0,0,"STARTER 1200"
38864,DATA,32.7,-8.3,1679,1692,1500,1000,1098,0,0,0,""
39384,DATA,32.7,-8.3,1593,1658,2500,1000,1185,0,0,0,""
39884,DATA,33.7,0.0,2057,1687,178214,1000,1200,0,0,0,""
40384,DATA,33.7,8.3,1241,1654,180014,1000,1200,0,0,0,""
40884,DATA,32.7,0.0,2781,1596,1200,1000,1200,0,0,0,""
41384,DATA,32.5,0.0,3858,2881,2400,1000,1200,0,0,0,""
41884,DATA,32.7,0.0,2543,2904,6000,1000,1200,0,0,0,""
42384,DATA,32.7,0.0,2142,2525,11399,1000,1200,0,0,0,""
42884,DATA,33.0,2.1,2051,2268,12600,1000,1200,0,0,0,""
43384,DATA,33.0,2.1,2152,2180,23401,1000,1200,0,0,0,""
43884,DATA,32.7,0.0,2346,2234,15601,1000,1200,0,0,0,""
44384,DATA,32.7,0.0,3051,2530,11401,1000,1200,0,0,0,""
44884,DATA,32.7,-2.1,3518,3022,5399,1000,1200,0,0,0,""
45384,DATA,33.0,0.0,3709,3371,10200,1000,1200,0,0,0,""
45884,DATA,33.0,0.0,3842,3625,11399,1000,1200,0,0,0,""
46384,DATA,33.0,0.0,3639,3626,9000,1000,1200,0,0,0,""
46884,DATA,33.0,0.0,3668,3657,7801,1000,1200,0,0,0,""
47384,DATA,32.7,-2.1,3403,3588,7800,1000,1200,0,0,0,""
47884,DATA,33.0,0.0,3207,3349,4200,1000,1200,0,0,0,""
48384,DATA,33.0,2.1,3521,3389,6001,1000,1200,0,0,0,""
48884,DATA,32.7,-2.1,3107,3241,9601,1000,1200,0,0,0,""
49384,DATA,33.0,0.0,3599,3350,8401,1000,1200,0,0,0,""
49884,DATA,33.0,0.0,3794,3595,6000,1000,1200,0,0,0,""
50384,DATA,33.0,0.0,3834,3698,8401,1000,1200,0,0,0,""
50884,DATA,33.0,0.0,3688,3751,3600,1000,1200,0,0,0,""
51384,DATA,33.0,2.1,3118,3466,8401,1000,1200,0,0,0,""
51884,DATA,33.0,0.0,3565,3419,11999,1000,1200,0,0,0,""
52384,DATA,33.0,0.0,3773,3604,19801,1000,1200,0,0,0,""
52884,DATA,33.0,0.0,3854,3732,16199,1000,1200,0,0,0,""
53384,DATA,32.7,-2.1,4141,3905,15000,1000,1200,0,0,0,""
53594,EVENT,33.0,0.0,4210,3987,25799,1000,1200,0,0,0,"STARTER 1220"
53884,DATA,33.0,0.0,4143,4057,3999,1000,1208,0,0,0,""
54384,DATA,32.7,0.0,3877,4015,16202,1000,1218,0,0,0,""
54884,DATA,32.7,0.0,4006,3976,9600,1000,1220,0,0,0,""
55384,DATA,32.7,-2.1,4089,4035,18600,1000,1220,0,0,0,""
55884,DATA,33.0,0.0,4296,4140,9001,1000,1220,0,0,0,""
56384,DATA,33.0,0.0,4005,4117,4200,1000,1220,0,0,0,""
56884,DATA,33.0,0.0,3519,3852,3600,1000,1220,0,0,0,""
57384,DATA,33.0,0.0,3614,3681,16800,1000,1220,0,0,0,""
57884,DATA,33.0,0.0,3950,3789,10200,1000,1220,0,0,0,""
58384,DATA,33.0,0.0,4021,3887,7201,1000,1220,0,0,0,""
58884,DATA,33.0,0.0,3656,3813,4800,1000,1220,0,0,0,""
59384,DATA,33.0,0.0,3354,3617,4200,1000,1220,0,0,0,""
59884,DATA,33.0,0.0,3294,3448,5400,1000,1220,0,0,0,""
60384,DATA,33.0,0.0,2949,3205,7801,1000,1220,0,0,0,""
60884,DATA,33.0,0.0,2765,3006,8400,1000,1220,0,0,0,""
61292,EVENT,33.0,0.0,2636,2827,10200,1000,1220,0,0,0,"STARTER 1240"
61384,DATA,33.0,0.0,2687,2806,14996,1000,1223,0,0,0,""
61884,DATA,32.7,-2.1,2918,2835,2422,1000,1235,0,0,0,""
62384,DATA,32.7,0.0,2770,2859,4800,1000,1240,0,0,0,""
62884,DATA,33.0,0.0,2649,2765,6000,1000,1240,0,0,0,""
