ms,type,egtC,dEgtCps,rpm,fRpm,rRpm,pumpUs,starterUs,ign,valve1,valve2,event
5345,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"BOOT SD_LOG_READY"
9386,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"EV:A05_ALL_OFF"
9388,DATA,51.2,0.0, 0, 0,592800,1000,1000,0,0,0,""
9888,DATA,51.5,0.0, 0, 0,47399,1000,1000,0,0,0,""
10388,DATA,51.2,0.0, 0, 0,167425,1000,1000,0,0,0,""
10888,DATA,51.2,-2.1, 0, 0,113989,1000,1000,0,0,0,""
11388,DATA,51.2,0.0, 0, 0,41401,1000,1000,0,0,0,""
11888,DATA,51.2,0.0, 0, 0,57005,1000,1000,0,0,0,""
12388,DATA,51.2,0.0, 0, 0,53994,1000,1000,0,0,0,""
12888,DATA,51.2,0.0, 0, 0,18599,1000,1000,0,0,0,""
13388,DATA,51.2,0.0, 0, 0,50398,1000,1000,0,0,0,""
13888,DATA,51.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
14388,DATA,51.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
14888,DATA,51.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
15388,DATA,51.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
15888,DATA,51.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
16388,DATA,51.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
16888,DATA,51.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
17388,DATA,51.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
17888,DATA,51.2,2.1, 0, 0, 0,1000,1000,0,0,0,""
18388,DATA,51.0,-2.1, 0, 0, 0,1000,1000,0,0,0,""
18888,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
19388,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
19888,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
20388,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
20888,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
21388,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
21888,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
22388,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
22888,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
23388,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
23888,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
24388,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
24888,DATA,51.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
25388,DATA,50.8,-2.1, 0, 0, 0,1000,1000,0,0,0,""
25888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
26388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
26888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
27388,DATA,50.8,-2.1, 0, 0, 0,1000,1000,0,0,0,""
27888,DATA,51.0,2.1, 0, 0, 0,1000,1000,0,0,0,""
28388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
28888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
29388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
29888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
30388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
30888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
31388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
31888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
32388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
32888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
33388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
33888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
34388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
34888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
35388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
35888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
36388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
36888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
37388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
37888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
38388,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
38888,DATA,50.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
39388,DATA,50.5,-2.1, 0, 0, 0,1000,1000,0,0,0,""
39888,DATA,50.8,2.1, 0, 0, 0,1000,1000,0,0,0,""
40388,DATA,50.5,-2.1, 0, 0, 0,1000,1000,0,0,0,""
40888,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
41388,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
41888,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
42388,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
42888,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
43388,DATA,50.2,-2.1, 0, 0, 0,1000,1000,0,0,0,""
43888,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
44388,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
44888,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
45388,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
45888,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
46388,DATA,50.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
46888,DATA,50.5,2.1, 0, 0, 0,1000,1000,0,0,0,""
47388,DATA,50.5,2.1, 0, 0, 0,1000,1000,0,0,0,""
47888,DATA,50.2,-2.1, 0, 0, 0,1000,1000,0,0,0,""
48388,DATA,50.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
48888,DATA,50.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
49388,DATA,50.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
49888,DATA,50.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
50388,DATA,50.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
50888,DATA,50.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
51388,DATA,50.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
51888,DATA,50.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
