ms,type,mode,stage,egtC,dEgtCps,rpm,targetRpm,pumpUs,flowMlMin,fuelTargetUs,starterUs,ign,valve1,valve2,throttlePct,abortReason,event
540,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","CONFIG LOADED from SD"
3387,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT SD_LOG_READY"
3388,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT Test ECU V1 WebUI/TestWizard"
3553,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","WEB ON ECU_TestV1 http://192.168.4.1"
71836,EVENT,WAITING,NONE,34.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST EGT PASS - EGT OK 34.0C"
73382,DATA,WAITING,NONE,34.0,1.9,200000,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
73377,EVENT,WAITING,NONE,34.0,1.9, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
73378,EVENT,WAITING,NONE,34.0,1.9, 0,0,1000,0.0,1000,1200,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
73882,DATA,WAITING,NONE,33.7,12.5,4046,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
74382,DATA,WAITING,NONE,32.2,-14.6,317,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
74882,DATA,WAITING,NONE,32.2,-12.5,678,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
75382,DATA,WAITING,NONE,32.5,2.1,1148,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
75882,DATA,WAITING,NONE,32.2,0.0,1821,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
76382,DATA,WAITING,NONE,32.2,-2.1,2027,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
76882,DATA,WAITING,NONE,32.5,2.1,2064,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
77382,DATA,WAITING,NONE,32.2,0.0,2094,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
77882,DATA,WAITING,NONE,32.2,0.0,2101,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
78378,EVENT,WAITING,NONE,32.2,0.0,2100,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER PASS - RPM=2100 RNOISE=CLEAN"
303883,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","EGT START MODE DRY"
305500,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
315716,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
325615,EVENT,WAITING,NONE,33.7,1.9, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
333221,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","EGT START MODE DRY"
343497,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
363654,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","CONFIG LOADED from SD"
426022,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST RPM_NOISE PASS - RNOISE=NO_SIGNAL raw=0 rej=0 jit=0.0%"
435609,DATA,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
435604,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START IGN_PULSE"
435605,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE","TEST IGN_PULSE RUNNING - Running"
436109,DATA,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
436606,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST IGN_PULSE PASS - IGN pulse completed"
438624,DATA,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1200,1,0,0,0,"NONE",""
438618,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER_IGN_EMI"
438619,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1200,1,0,0,0,"NONE","TEST STARTER_IGN_EMI RUNNING - Running"
439124,DATA,WAITING,NONE,33.7,12.5,3099,0,1000,0.0,1000,1200,1,0,0,0,"NONE",""
439624,DATA,WAITING,NONE,32.5,-12.5,315,0,1000,0.0,1000,1200,1,0,0,0,"NONE",""
440124,DATA,WAITING,NONE,32.0,-2.1,711,0,1000,0.0,1000,1200,1,0,0,0,"NONE",""
440624,DATA,WAITING,NONE,32.2,0.0,1748,0,1000,0.0,1000,1200,1,0,0,0,"NONE",""
441124,DATA,WAITING,NONE,32.2,0.0,1990,0,1000,0.0,1000,1200,1,0,0,0,"NONE",""
441624,DATA,WAITING,NONE,32.2,0.0,2100,0,1000,0.0,1000,1200,1,0,0,0,"NONE",""
442124,DATA,WAITING,NONE,32.2,0.0,2131,0,1000,0.0,1000,1200,1,0,0,0,"NONE",""
442624,DATA,WAITING,NONE,32.2,0.0,2157,0,1000,0.0,1000,1200,1,0,0,0,"NONE",""
443124,DATA,WAITING,NONE,32.2,0.0,2165,0,1000,0.0,1000,1200,1,0,0,0,"NONE",""
443620,EVENT,WAITING,NONE,32.2,0.0,2177,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER_IGN_EMI PASS - EMI OK RNOISE=CLEAN"
445097,DATA,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,1,0,0,"NONE",""
445092,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START VALVE1_START"
445093,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,1,0,0,"NONE","TEST VALVE1_START RUNNING - Running"
445597,DATA,WAITING,NONE,33.5,0.0,1446,0,1000,0.0,1000,1000,0,1,0,0,"NONE",""
446094,EVENT,WAITING,NONE,33.5,0.0,1282,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST VALVE1_START PASS - Valve 1 pulse completed"
447512,DATA,WAITING,NONE,33.7,0.0,902,0,1000,0.0,1000,1000,0,0,1,0,"NONE",""
447507,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START VALVE2_MAIN"
447508,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,1,0,"NONE","TEST VALVE2_MAIN RUNNING - Running"
448012,DATA,WAITING,NONE,33.5,0.0,829,0,1000,0.0,1000,1000,0,0,1,0,"NONE",""
448509,EVENT,WAITING,NONE,33.5,0.0,723,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST VALVE2_MAIN PASS - Valve 2 pulse completed"
449404,DATA,WAITING,NONE,33.7,0.0, 0,0,1160,50.0,1160,1000,0,0,1,0,"NONE",""
449376,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START PUMP_PRIME"
449400,EVENT,WAITING,NONE,33.7,0.0, 0,0,1160,50.0,1160,1000,0,0,1,0,"NONE","TEST PUMP_PRIME RUNNING - Running"
449904,DATA,WAITING,NONE,33.5,0.0,492,0,1160,50.0,1160,1000,0,0,1,0,"NONE",""
450404,DATA,WAITING,NONE,33.5,0.0,437,0,1160,50.0,1160,1000,0,0,1,0,"NONE",""
450889,EVENT,WAITING,NONE,33.5,0.0,381,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST PUMP_PRIME PASS - Pump prime completed at 1160us"
456720,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST KILL_SWITCH PASS - Physical NC kill switch confirmed by user"
462867,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
464188,DATA,STARTING,PURGE,33.7,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
464170,EVENT,WAITING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","MODE -> STARTING"
464171,EVENT,STARTING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","STAGE -> PURGE"
464172,EVENT,STARTING,PURGE,33.7,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE","AUTO-IDLE START"
464688,DATA,STARTING,PURGE,32.2,-2.9,982,0,1000,0.0,1000,1152,0,0,0,0,"NONE",""
465188,DATA,STARTING,PURGE,32.0,-4.2,159,0,1000,0.0,1000,1154,0,0,0,0,"NONE",""
465709,DATA,COOLDOWN,NONE,32.5,2.1,78,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM",""
465673,EVENT,STARTING,PURGE,32.5,2.1,78,0,1000,0.0,1000,1156,0,0,0,0,"NO_STARTER_RPM","ABORT_SNAPSHOT reason=NO_STARTER_RPM"
465707,EVENT,STARTING,PURGE,32.5,2.1,78,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM","MODE -> COOLDOWN"
465707,EVENT,COOLDOWN,PURGE,32.5,2.1,78,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM","STAGE -> NONE"
465708,EVENT,COOLDOWN,NONE,32.5,2.1,78,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM","ABORT -> COOLDOWN: NO_STARTER_RPM"
466224,DATA,COOLDOWN,NONE,33.7,2.2,78,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM",""
466724,DATA,COOLDOWN,NONE,33.7,0.0,165,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM",""
467224,DATA,COOLDOWN,NONE,33.7,0.0,4511,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM",""
467724,DATA,COOLDOWN,NONE,33.7,0.0,765,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM",""
468224,DATA,COOLDOWN,NONE,33.7,0.0,582,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM",""
468724,DATA,COOLDOWN,NONE,33.7,0.0,1324,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM",""
469224,DATA,COOLDOWN,NONE,33.7,0.0,167,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM",""
469724,DATA,COOLDOWN,NONE,33.7,0.0,119,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM",""
470225,DATA,COOLDOWN,NONE,33.7,0.0,117,0,1000,0.0,1000,1100,0,0,0,0,"NO_STARTER_RPM",""
470708,EVENT,COOLDOWN,NONE,33.7,0.0,121,0,1000,0.0,1000,1000,0,0,0,0,"NO_STARTER_RPM","MODE -> ABORTED"
470720,EVENT,ABORTED,NONE,33.7,0.0,121,0,1000,0.0,1000,1000,0,0,0,0,"NO_STARTER_RPM","COOLDOWN COMPLETE -> ABORTED"
479201,EVENT,ABORTED,NONE,33.7,0.0,114,0,1000,0.0,1000,1000,0,0,0,0,"NO_STARTER_RPM","ARMED 10s"
484194,EVENT,ABORTED,NONE,33.7,-2.1, 0,0,1000,0.0,1000,1000,0,0,0,0,"NO_STARTER_RPM","ARMED 10s"
492360,EVENT,ABORTED,NONE,33.7,-2.1, 0,0,1000,0.0,1000,1000,0,0,0,0,"NO_STARTER_RPM","ARMED 10s"
492965,DATA,STARTING,PURGE,33.7,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
492948,EVENT,ABORTED,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","MODE -> STARTING"
492948,EVENT,STARTING,NONE,33.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","STAGE -> PURGE"
