ms,type,egtC,dEgtCps,rpm,fRpm,rRpm,pumpUs,starterUs,ign,valve1,valve2,event
4857,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"BOOT SD_LOG_READY"
8898,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"EV:A05_ALL_OFF"
9007,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"CONFIG_LOADED"
9122,DATA,56.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
9622,DATA,56.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
10122,DATA,56.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
10622,DATA,56.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
11122,DATA,56.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
11622,DATA,56.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
12122,DATA,56.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
12622,DATA,56.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
13003,EVENT,56.5,0.0, 0, 0, 0,1000,1000,0,0,0,"STARTER 1200"
13158,DATA,56.5,0.0,60,60, 0,1000,1037,0,0,0,""
13678,DATA,55.5,6.2,2417,1744, 0,1000,1153,0,0,0,""
14178,DATA,54.5,-8.3,4204,3709,605,1000,1200,0,0,0,""
14678,DATA,56.2,8.3,4716,4556, 0,1000,1200,0,0,0,""
15178,DATA,55.0,0.0,4654,4723, 0,1000,1200,0,0,0,""
15678,DATA,55.0,-10.4,2910,3450, 0,1000,1200,0,0,0,""
16178,DATA,54.7,-4.2,2269,2342, 0,1000,1200,0,0,0,""
16678,DATA,56.2,0.0,2364,2351, 0,1000,1200,0,0,0,""
17178,DATA,56.2,0.0,2383,2379,148199,1000,1200,0,0,0,""
17678,DATA,56.2,0.0,2386,2385,149998,1000,1200,0,0,0,""
17840,EVENT,56.2,0.0,2386,2386,163936,1000,1200,0,0,0,"STARTER OFF"
18198,DATA,56.2,0.0,1871,2062,1500,1000,1109,0,0,0,""
18718,DATA,56.2,0.0,1578,1657,2000,1000,1018,0,0,0,""
19218,DATA,56.0,0.0,1038,1285,148818,1000,1000,0,0,0,""
19718,DATA,56.2,0.0, 0, 0,149388,1000,1000,0,0,0,""
20218,DATA,56.0,-2.1, 0, 0,148800,1000,1000,0,0,0,""
20718,DATA,56.0,0.0, 0, 0,150582,1000,1000,0,0,0,""
21218,DATA,56.0,0.0, 0, 0,118814,1000,1000,0,0,0,""
21718,DATA,56.0,0.0, 0, 0,600,1000,1000,0,0,0,""
22218,DATA,56.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
22718,DATA,56.0,0.0, 0, 0,600,1000,1000,0,0,0,""
23218,DATA,56.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
23718,DATA,56.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
24218,DATA,56.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
24718,DATA,56.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
25218,DATA,56.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
25244,EVENT,56.0,0.0, 0, 0, 0,1000,1000,0,0,0,"STARTER 1200"
25718,DATA,55.0,-4.2,338,338,500,1000,1116,0,0,0,""
26238,DATA,55.8,8.3,839,619, 0,1000,1195,0,0,0,""
26738,DATA,53.7,-6.2,2004,1794, 0,1000,1200,0,0,0,""
27238,DATA,56.0,0.0,2154,2130, 0,1000,1200,0,0,0,""
27738,DATA,56.0,10.4,2049,2076,600,1000,1200,0,0,0,""
28238,DATA,54.7,10.4,1904,1941, 0,1000,1200,0,0,0,""
28738,DATA,55.8,-2.1,1794,1815,600,1000,1200,0,0,0,""
29238,DATA,55.8,0.0,1773,1777, 0,1000,1200,0,0,0,""
29738,DATA,55.8,0.0,1706,1729, 0,1000,1200,0,0,0,""
30238,DATA,56.0,2.1,1549,1588, 0,1000,1200,0,0,0,""
30738,DATA,55.8,0.0,1467,1482, 0,1000,1200,0,0,0,""
31191,EVENT,55.8,0.0,1452,1455, 0,1000,1200,0,0,0,"STARTER OFF"
31258,DATA,55.8,0.0,1452,1455, 0,1000,1191,0,0,0,""
31778,DATA,55.8,0.0,450,696, 0,1000,1062,0,0,0,""
32278,DATA,55.5,-2.1,184,246, 0,1000,1000,0,0,0,""
32778,DATA,55.8,2.1, 0, 0,600,1000,1000,0,0,0,""
33278,DATA,55.8,0.0, 0, 0, 0,1000,1000,0,0,0,""
33778,DATA,55.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
34278,DATA,55.5,-2.1, 0, 0, 0,1000,1000,0,0,0,""
34778,DATA,55.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
35278,DATA,55.8,2.1, 0, 0, 0,1000,1000,0,0,0,""
35778,DATA,55.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
36278,DATA,55.5,0.0, 0, 0,600,1000,1000,0,0,0,""
36778,DATA,55.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
37278,DATA,55.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
37778,DATA,55.5,0.0, 0, 0,1200,1000,1000,0,0,0,""
38278,DATA,55.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
38778,DATA,55.5,0.0, 0, 0,600,1000,1000,0,0,0,""
39278,DATA,55.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
39778,DATA,55.5,0.0, 0, 0,600,1000,1000,0,0,0,""
40278,DATA,55.5,0.0, 0, 0,600,1000,1000,0,0,0,""
40778,DATA,55.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
41278,DATA,55.5,2.1, 0, 0, 0,1000,1000,0,0,0,""
41778,DATA,55.2,-2.1, 0, 0, 0,1000,1000,0,0,0,""
42278,DATA,55.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
42778,DATA,55.2,0.0, 0, 0,600,1000,1000,0,0,0,""
43278,DATA,55.2,0.0, 0, 0,1800,1000,1000,0,0,0,""
43778,DATA,55.2,0.0, 0, 0,3600,1000,1000,0,0,0,""
44278,DATA,55.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
44778,DATA,55.2,0.0, 0, 0,600,1000,1000,0,0,0,""
45278,DATA,55.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
45778,DATA,55.2,0.0,71,71, 0,1000,1000,0,0,0,""
46278,DATA,55.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
46778,DATA,55.2,0.0, 0, 0,88204,1000,1000,0,0,0,""
47278,DATA,55.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
47778,DATA,55.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
48278,DATA,55.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
48778,DATA,55.2,0.0, 0, 0,1800,1000,1000,0,0,0,""
