ms,type,mode,stage,egtC,dEgtCps,rpm,targetRpm,pumpUs,flowMlMin,fuelTargetUs,starterUs,ign,valve1,valve2,throttlePct,abortReason,event
2257,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT SD_LOG_READY"
2417,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT Test ECU V1 WebUI/TestWizard"
2632,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","WEB ON ECU_TestV1 http://192.168.4.1"
39903,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
45015,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
45077,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
45138,DATA,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1260,0,0,0,0,"NONE",""
45661,DATA,WAITING,NONE,21.8,3.8,1499,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
46161,DATA,WAITING,NONE,22.2,4.2,7156,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
46661,DATA,WAITING,NONE,23.3,-3.8,1500,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
47161,DATA,WAITING,NONE,23.3,0.0,1500,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
47661,DATA,WAITING,NONE,23.3,-1.9,1499,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
48161,DATA,WAITING,NONE,22.2,-2.1,1710,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
48621,EVENT,WAITING,NONE,22.2,0.0,1501,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER PASS - RPM=1501 RNOISE=CLEAN"
70135,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
71063,EVENT,WAITING,NONE,31.8,-1.9, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
71131,EVENT,WAITING,NONE,31.8,-1.9, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
71192,DATA,WAITING,NONE,31.8,0.0, 0,0,1000,0.0,1000,1260,0,0,0,0,"NONE",""
71701,DATA,WAITING,NONE,21.8,6.2,750,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
72201,DATA,WAITING,NONE,21.8,-2.1,1960,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
72701,DATA,WAITING,NONE,23.7,2.1,86831,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
73201,DATA,WAITING,NONE,24.0,0.0,1500,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
73701,DATA,WAITING,NONE,23.0,1.7,1500,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
74201,DATA,WAITING,NONE,22.2,-3.8,1499,0,1000,0.0,1000,1230,0,0,0,0,"NONE",""
74701,EVENT,WAITING,NONE,21.8,2.1,1631,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER PASS - RPM=1631 RNOISE=WARN"
