ms,type,mode,stage,egtC,dEgtCps,rpm,targetRpm,pumpUs,flowMlMin,fuelTargetUs,starterUs,ign,valve1,valve2,throttlePct,abortReason,event
11019,DATA,WAITING,NONE,30.3,0.0,667,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
544,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","CONFIG LOADED from SD"
4418,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT SD_LOG_READY"
4419,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT Test ECU V1 WebUI/TestWizard"
4582,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","WIFI API ON ECU_TestV1 http://192.168.4.1"
10243,EVENT,WAITING,NONE,31.8,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
10244,EVENT,WAITING,NONE,31.8,0.0, 0,0,1000,0.0,1000,1200,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
11806,DATA,WAITING,NONE,30.3,0.0,946,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
12306,DATA,WAITING,NONE,30.3,0.0,1000,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
12998,DATA,WAITING,NONE,30.0,-1.3,1043,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
13498,DATA,WAITING,NONE,30.3,0.0,1056,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
13998,DATA,WAITING,NONE,30.3,0.0,2136,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
14689,DATA,WAITING,NONE,30.3,0.0,2151,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
15189,DATA,WAITING,NONE,30.3,1.2,2155,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
15301,EVENT,WAITING,NONE,30.3,1.2,2155,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER PASS - RPM=2155 RNOISE=CLEAN"
384487,EVENT,WAITING,NONE,32.0,0.0, 0,0,2000,600.0,1000,2000,0,0,0,0,"NONE","ESC CAL: MAX 2000us (PUMP+STARTER)"
389488,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ESC CAL: MIN 1000us (done)"
