ms,type,mode,stage,egtC,dEgtCps,rpm,targetRpm,pumpUs,flowMlMin,fuelTargetUs,starterUs,ign,valve1,valve2,throttlePct,abortReason,event
2334,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT SD_LOG_READY"
2334,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT Test ECU V1 WebUI/TestWizard"
2438,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","WEB ON ECU_TestV1 http://192.168.4.1"
31126,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
32377,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST EGT PASS - EGT OK 32.0C"
33945,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
34598,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST RPM_NOISE PASS - RNOISE=NO_SIGNAL raw=0 rej=0 jit=0.0%"
36725,EVENT,WAITING,NONE,32.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
37482,DATA,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
37405,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START IGN_PULSE"
37442,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE","TEST IGN_PULSE RUNNING - Running"
37982,DATA,WAITING,NONE,32.0,-1.7, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
38502,EVENT,WAITING,NONE,32.0,-2.1, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST IGN_PULSE PASS - IGN pulse completed"
40558,EVENT,WAITING,NONE,32.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
42082,DATA,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
42005,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
42042,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
42602,DATA,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
43102,DATA,WAITING,NONE,32.2,1.7, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
43622,DATA,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
44142,DATA,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
44662,DATA,WAITING,NONE,32.2,1.9, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
45082,EVENT,WAITING,NONE,32.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER FAIL - RPM/RNOISE bad: RPM= 0 RNOISE=NO_SIGNAL"
74225,EVENT,WAITING,NONE,32.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
75602,DATA,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
75538,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
75562,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
76122,DATA,WAITING,NONE,31.2,-1.9, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
76642,DATA,WAITING,NONE,31.5,0.0,375,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
77162,DATA,WAITING,NONE,31.5,0.0,375,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
77682,DATA,WAITING,NONE,31.8,0.0,300,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
78202,DATA,WAITING,NONE,31.5,-2.1,260,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
78602,EVENT,WAITING,NONE,31.5,0.0,250,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER FAIL - RPM/RNOISE bad: RPM=250 RNOISE=NOISY"
82505,EVENT,WAITING,NONE,32.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
84402,DATA,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
84325,EVENT,WAITING,NONE,32.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
