ms,type,egtC,dEgtCps,rpm,fRpm,rRpm,pumpUs,starterUs,ign,valve1,valve2,event
4483,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"BOOT SD_LOG_READY"
8524,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"EV:A05_ALL_OFF"
8525,DATA,33.5,0.0, 0, 0,38400,1000,1000,0,0,0,""
9025,DATA,33.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
9525,DATA,33.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
10025,DATA,33.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
10525,DATA,33.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
11025,DATA,33.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
11525,DATA,33.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
12025,DATA,33.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
12525,DATA,33.5,0.0, 0, 0, 0,1000,1000,0,0,0,""
13025,DATA,33.5,0.0, 0, 0,600,1000,1000,0,0,0,""
13525,DATA,33.5,0.0, 0, 0,3000,1000,1000,0,0,0,""
