ms,type,egtC,dEgtCps,rpm,fRpm,rRpm,pumpUs,starterUs,ign,valve1,valve2,event
4825,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"BOOT SD_LOG_READY"
8866,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"EV:A05_ALL_OFF"
8868,DATA,57.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
9368,DATA,57.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
9868,DATA,57.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
10368,DATA,57.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
10868,DATA,57.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
11368,DATA,57.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
11868,DATA,57.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
12368,DATA,57.0,0.0, 0, 0, 0,1000,1000,0,0,0,""
