ms,type,egtC,dEgtCps,rpm,fRpm,rRpm,pumpUs,starterUs,ign,valve1,valve2,event
4927,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"BOOT SD_LOG_READY"
8968,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"EV:A05_ALL_OFF"
9076,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"CONFIG_LOADED"
9191,DATA,47.7,0.0, 0, 0,192600,1000,1000,0,0,0,""
9691,DATA,47.7,0.0, 0, 0,160823,1000,1000,0,0,0,""
10191,DATA,47.7,0.0, 0, 0,159000,1000,1000,0,0,0,""
10691,DATA,47.7,0.0, 0, 0,160816,1000,1000,0,0,0,""
11100,EVENT,47.7,0.0, 0, 0,159600,1000,1000,0,0,0,"STARTER 1200"
11209,DATA,47.7,0.0, 0, 0,159600,1000,1023,0,0,0,""
11729,DATA,47.7,0.0,1841,1499,2000,1000,1145,0,0,0,""
12229,DATA,47.7,2.1,3811,3266,2000,1000,1200,0,0,0,""
12729,DATA,47.7,0.0,5309,4906,161400,1000,1200,0,0,0,""
13229,DATA,47.7,2.1,5893,5782,160178,1000,1200,0,0,0,""
13729,DATA,47.5,-2.1,5984,5965,161394,1000,1200,0,0,0,""
14229,DATA,47.7,2.1,5998,5995,160219,1000,1200,0,0,0,""
14729,DATA,47.7,0.0,6000,5999,161395,1000,1200,0,0,0,""
15229,DATA,47.5,-2.1,6000,6000,160178,1000,1200,0,0,0,""
15729,DATA,47.7,2.1,6000,6000,161379,1000,1200,0,0,0,""
16229,DATA,47.7,0.0,6000,6000,160216,1000,1200,0,0,0,""
16436,EVENT,47.7,0.0,6000,6000,168003,1000,1200,0,0,0,"STARTER OFF"
16749,DATA,47.7,0.0,5847,5976,2000,1000,1120,0,0,0,""
17269,DATA,47.5,0.0,2980,3752,2000,1000,1024,0,0,0,""
17769,DATA,47.5,0.0,1371,1649,160816,1000,1000,0,0,0,""
18269,DATA,47.5,0.0,265,472,158992,1000,1000,0,0,0,""
18769,DATA,47.7,0.0, 0, 0,160222,1000,1000,0,0,0,""
18902,EVENT,47.5,-2.1, 0, 0,177552,1000,1000,0,0,0,"STARTER 1200"
19289,DATA,47.5,-2.1,586,362,1500,1000,1097,0,0,0,""
19809,DATA,47.5,0.0,2872,2297,2000,1000,1185,0,0,0,""
20309,DATA,47.5,0.0,4728,4287,157214,1000,1200,0,0,0,""
20809,DATA,47.5,0.0,5783,5589,159597,1000,1200,0,0,0,""
21309,DATA,47.5,0.0,5968,5930,139204,1000,1200,0,0,0,""
21809,DATA,47.5,0.0,5995,5989,154786,1000,1200,0,0,0,""
22309,DATA,47.5,0.0,5999,5998,160219,1000,1200,0,0,0,""
22809,DATA,47.5,0.0,6000,6000,161398,1000,1200,0,0,0,""
23309,DATA,47.5,0.0,6000,6000,160181,1000,1200,0,0,0,""
23353,EVENT,47.5,0.0,6000,6000,160181,1000,1200,0,0,0,"STARTER 1414"
23829,DATA,47.5,2.1,6198,6001,2500,1000,1325,0,0,0,""
24349,DATA,47.5,0.0,8361,7642,2000,1000,1409,0,0,0,""
24849,DATA,47.5,2.1,10059,9388,161423,1000,1414,0,0,0,""
25349,DATA,47.5,0.0,12017,11664,160779,1000,1414,0,0,0,""
25849,DATA,47.2,-2.1,12360,12290,161987,1000,1414,0,0,0,""
26055,EVENT,47.5,0.0,12392,12358,178936,1000,1414,0,0,0,"STARTER 1430"
26170,EVENT,47.5,0.0,12423,12398,182424,1000,1417,0,0,0,"STARTER 1978"
26310,EVENT,47.5,0.0,12451,12422,12546,1000,1507,0,0,0,"STARTER 2000"
26349,DATA,47.2,-1.7,12451,12422,12546,1000,1508,0,0,0,""
26869,DATA,47.5,2.1,15001,13723,1500,1000,1834,0,0,0,""
27369,DATA,47.2,0.0,18934,17563,2000,1000,2000,0,0,0,""
27869,DATA,47.2,0.0,27778,26129,161390,1000,2000,0,0,0,""
28369,DATA,47.5,2.1,29666,29294,159605,1000,2000,0,0,0,""
28869,DATA,47.5,2.1,29951,29889,161402,1000,2000,0,0,0,""
29369,DATA,47.2,-2.1,29993,29984,158978,1000,2000,0,0,0,""
29869,DATA,47.2,-2.1,29999,29998,160798,1000,2000,0,0,0,""
30369,DATA,47.5,2.1,30000,30000,159586,1000,2000,0,0,0,""
30869,DATA,47.2,0.0,30000,30000,160806,1000,2000,0,0,0,""
30936,EVENT,47.2,0.0,30000,30000,160806,1000,2000,0,0,0,"STARTER OFF"
31369,DATA,47.2,0.0,26659,28286,2000,1000,1461,0,0,0,""
31889,DATA,47.5,2.1,13093,17061,1500,1000,1047,0,0,0,""
32389,DATA,47.2,0.0,3059,5040,158978,1000,1000,0,0,0,""
32889,DATA,47.5,0.0,483,986,161377,1000,1000,0,0,0,""
33389,DATA,47.2,0.0, 0, 0,159606,1000,1000,0,0,0,""
33889,DATA,47.2,0.0, 0, 0,161392,1000,1000,0,0,0,""
34389,DATA,47.2,0.0, 0, 0,158994,1000,1000,0,0,0,""
34889,DATA,47.2,0.0, 0, 0,160795,1000,1000,0,0,0,""
35389,DATA,47.2,0.0, 0, 0,159000,1000,1000,0,0,0,""
35889,DATA,47.2,0.0, 0, 0,160293,1000,1000,0,0,0,""
36389,DATA,47.2,0.0, 0, 0,159598,1000,1000,0,0,0,""
36889,DATA,47.2,0.0, 0, 0,160211,1000,1000,0,0,0,""
37389,DATA,47.2,0.0, 0, 0,158978,1000,1000,0,0,0,""
37889,DATA,47.2,0.0, 0, 0,160789,1000,1000,0,0,0,""
38389,DATA,47.2,0.0, 0, 0,158419,1000,1000,0,0,0,""
38889,DATA,47.2,0.0, 0, 0,160222,1000,1000,0,0,0,""
39389,DATA,47.2,0.0, 0, 0,159000,1000,1000,0,0,0,""
39889,DATA,47.2,0.0, 0, 0,160205,1000,1000,0,0,0,""
40389,DATA,47.2,0.0, 0, 0,159003,1000,1000,0,0,0,""
40889,DATA,47.2,0.0, 0, 0,160203,1000,1000,0,0,0,""
41389,DATA,47.2,0.0, 0, 0,159602,1000,1000,0,0,0,""
41889,DATA,47.2,0.0, 0, 0,160203,1000,1000,0,0,0,""
42389,DATA,47.2,0.0, 0, 0,159589,1000,1000,0,0,0,""
42889,DATA,47.2,0.0, 0, 0,160803,1000,1000,0,0,0,""
43389,DATA,47.2,0.0, 0, 0,159600,1000,1000,0,0,0,""
43889,DATA,47.2,0.0, 0, 0,160182,1000,1000,0,0,0,""
44389,DATA,47.2,0.0, 0, 0,159619,1000,1000,0,0,0,""
44889,DATA,47.2,0.0, 0, 0,160803,1000,1000,0,0,0,""
45389,DATA,47.2,0.0, 0, 0,159000,1000,1000,0,0,0,""
45889,DATA,47.2,0.0, 0, 0,160823,1000,1000,0,0,0,""
46389,DATA,47.2,0.0, 0, 0,159011,1000,1000,0,0,0,""
46889,DATA,47.2,0.0, 0, 0,160792,1000,1000,0,0,0,""
47389,DATA,47.2,0.0, 0, 0,158994,1000,1000,0,0,0,""
47889,DATA,47.2,0.0, 0, 0,160782,1000,1000,0,0,0,""
48389,DATA,47.2,0.0, 0, 0,158997,1000,1000,0,0,0,""
48889,DATA,47.2,0.0, 0, 0,161368,1000,1000,0,0,0,""
49389,DATA,47.2,0.0, 0, 0,158400,1000,1000,0,0,0,""
49889,DATA,47.2,0.0, 0, 0,160186,1000,1000,0,0,0,""
50389,DATA,47.2,0.0, 0, 0,159606,1000,1000,0,0,0,""
50889,DATA,47.2,0.0, 0, 0,160792,1000,1000,0,0,0,""
51389,DATA,47.2,2.1, 0, 0,160195,1000,1000,0,0,0,""
51889,DATA,47.0,0.0, 0, 0,160194,1000,1000,0,0,0,""
52389,DATA,47.2,0.0, 0, 0,159598,1000,1000,0,0,0,""
52889,DATA,47.0,-2.1, 0, 0,159581,1000,1000,0,0,0,""
53389,DATA,47.0,0.0, 0, 0,159579,1000,1000,0,0,0,""
53889,DATA,47.2,2.1, 0, 0,160803,1000,1000,0,0,0,""
54389,DATA,47.0,-2.1, 0, 0,158979,1000,1000,0,0,0,""
54889,DATA,47.0,0.0, 0, 0,161405,1000,1000,0,0,0,""
55389,DATA,47.0,0.0, 0, 0,159605,1000,1000,0,0,0,""
55889,DATA,47.0,0.0, 0, 0,160795,1000,1000,0,0,0,""
56389,DATA,47.0,0.0, 0, 0,158984,1000,1000,0,0,0,""
56889,DATA,47.0,0.0, 0, 0,160800,1000,1000,0,0,0,""
57389,DATA,47.0,0.0, 0, 0,159002,1000,1000,0,0,0,""
57889,DATA,47.0,0.0, 0, 0,160810,1000,1000,0,0,0,""
58389,DATA,47.0,0.0, 0, 0,159014,1000,1000,0,0,0,""
58889,DATA,47.0,0.0, 0, 0,160802,1000,1000,0,0,0,""
59389,DATA,47.0,0.0, 0, 0,159006,1000,1000,0,0,0,""
59889,DATA,47.0,0.0, 0, 0,160782,1000,1000,0,0,0,""
60389,DATA,47.0,0.0, 0, 0,159003,1000,1000,0,0,0,""
60889,DATA,47.0,0.0, 0, 0,160776,1000,1000,0,0,0,""
61389,DATA,47.0,0.0, 0, 0,159624,1000,1000,0,0,0,""
61889,DATA,47.0,0.0, 0, 0,160806,1000,1000,0,0,0,""
62389,DATA,47.0,0.0, 0, 0,159579,1000,1000,0,0,0,""
62889,DATA,47.0,0.0, 0, 0,156002,1000,1000,0,0,0,""
63389,DATA,47.0,0.0, 0, 0,152985,1000,1000,0,0,0,""
63889,DATA,47.0,0.0, 0, 0,160821,1000,1000,0,0,0,""
64389,DATA,47.0,0.0, 0, 0,159598,1000,1000,0,0,0,""
64889,DATA,47.0,0.0, 0, 0,160803,1000,1000,0,0,0,""
65389,DATA,47.0,0.0, 0, 0,159005,1000,1000,0,0,0,""
65889,DATA,47.0,0.0, 0, 0,160806,1000,1000,0,0,0,""
66389,DATA,47.0,0.0, 0, 0,159002,1000,1000,0,0,0,""
66889,DATA,47.0,2.1, 0, 0,160776,1000,1000,0,0,0,""
67389,DATA,46.7,-2.1, 0, 0,158987,1000,1000,0,0,0,""
67889,DATA,47.0,0.0, 0, 0,160200,1000,1000,0,0,0,""
68389,DATA,47.0,0.0, 0, 0,159000,1000,1000,0,0,0,""
68889,DATA,47.0,0.0, 0, 0,160218,1000,1000,0,0,0,""
69389,DATA,46.7,-2.1, 0, 0,158983,1000,1000,0,0,0,""
69889,DATA,46.7,-2.1, 0, 0,160798,1000,1000,0,0,0,""
70389,DATA,46.7,0.0, 0, 0,159005,1000,1000,0,0,0,""
70889,DATA,46.7,-2.1, 0, 0,160790,1000,1000,0,0,0,""
71389,DATA,46.7,-2.1, 0, 0,159019,1000,1000,0,0,0,""
71889,DATA,47.0,2.1, 0, 0,160216,1000,1000,0,0,0,""
72389,DATA,47.0,2.1, 0, 0,158421,1000,1000,0,0,0,""
72889,DATA,46.7,-2.1, 0, 0,160221,1000,1000,0,0,0,""
73389,DATA,46.7,0.0, 0, 0,159003,1000,1000,0,0,0,""
73889,DATA,46.7,0.0, 0, 0,160200,1000,1000,0,0,0,""
74389,DATA,46.7,0.0, 0, 0,158994,1000,1000,0,0,0,""
74889,DATA,46.7,0.0, 0, 0,160200,1000,1000,0,0,0,""
75389,DATA,46.7,0.0, 0, 0,158997,1000,1000,0,0,0,""
75889,DATA,46.7,0.0, 0, 0,160789,1000,1000,0,0,0,""
76389,DATA,46.7,0.0, 0, 0,158410,1000,1000,0,0,0,""
76889,DATA,46.7,0.0, 0, 0,161377,1000,1000,0,0,0,""
77389,DATA,46.7,0.0, 0, 0,159022,1000,1000,0,0,0,""
77889,DATA,46.7,0.0, 0, 0,160794,1000,1000,0,0,0,""
78389,DATA,46.7,0.0, 0, 0,4200,1000,1000,0,0,0,""
78889,DATA,46.7,0.0, 0, 0,159584,1000,1000,0,0,0,""
79389,DATA,46.7,0.0, 0, 0,159582,1000,1000,0,0,0,""
79889,DATA,46.7,0.0, 0, 0,160187,1000,1000,0,0,0,""
80389,DATA,46.7,0.0, 0, 0,156602,1000,1000,0,0,0,""
80889,DATA,46.7,0.0, 0, 0,116391,1000,1000,0,0,0,""
81389,DATA,46.7,0.0, 0, 0,158987,1000,1000,0,0,0,""
81889,DATA,46.7,0.0, 0, 0,160202,1000,1000,0,0,0,""
82389,DATA,46.7,0.0, 0, 0,159602,1000,1000,0,0,0,""
82889,DATA,46.7,0.0, 0, 0,160800,1000,1000,0,0,0,""
83389,DATA,46.7,0.0, 0, 0,158383,1000,1000,0,0,0,""
83889,DATA,46.7,2.1, 0, 0,160222,1000,1000,0,0,0,""
84389,DATA,46.7,0.0, 0, 0,158981,1000,1000,0,0,0,""
84889,DATA,46.5,0.0, 0, 0,160192,1000,1000,0,0,0,""
85389,DATA,46.7,0.0, 0, 0,158987,1000,1000,0,0,0,""
85889,DATA,46.5,-2.1, 0, 0,160800,1000,1000,0,0,0,""
86389,DATA,46.5,-2.1, 0, 0,159006,1000,1000,0,0,0,""
86889,DATA,46.5,0.0, 0, 0,160810,1000,1000,0,0,0,""
87389,DATA,46.5,0.0, 0, 0,159014,1000,1000,0,0,0,""
87889,DATA,46.5,-2.1, 0, 0,160819,1000,1000,0,0,0,""
88389,DATA,46.5,-2.1, 0, 0,159613,1000,1000,0,0,0,""
88889,DATA,46.5,-2.1, 0, 0,160806,1000,1000,0,0,0,""
89389,DATA,46.5,-2.1, 0, 0,159576,1000,1000,0,0,0,""
89889,DATA,46.7,0.0, 0, 0,160202,1000,1000,0,0,0,""
90389,DATA,46.7,0.0, 0, 0,159574,1000,1000,0,0,0,""
90889,DATA,46.5,-2.1, 0, 0,160800,1000,1000,0,0,0,""
91389,DATA,46.5,0.0, 0, 0,159021,1000,1000,0,0,0,""
91889,DATA,46.5,0.0, 0, 0,160205,1000,1000,0,0,0,""
92389,DATA,46.5,0.0, 0, 0,153003,1000,1000,0,0,0,""
92889,DATA,46.5,0.0, 0, 0,160219,1000,1000,0,0,0,""
93389,DATA,46.2,-2.1, 0, 0,24000,1000,1000,0,0,0,""
93889,DATA,46.5,0.0, 0, 0,160216,1000,1000,0,0,0,""
94389,DATA,46.5,0.0, 0, 0,159005,1000,1000,0,0,0,""
94889,DATA,46.2,-2.1, 0, 0,160818,1000,1000,0,0,0,""
95389,DATA,46.5,0.0, 0, 0,159586,1000,1000,0,0,0,""
95889,DATA,46.5,0.0, 0, 0,160786,1000,1000,0,0,0,""
96389,DATA,46.5,0.0, 0, 0,159600,1000,1000,0,0,0,""
96889,DATA,46.5,0.0, 0, 0,160802,1000,1000,0,0,0,""
97389,DATA,46.5,0.0, 0, 0,158411,1000,1000,0,0,0,""
97889,DATA,46.5,2.1, 0, 0,161385,1000,1000,0,0,0,""
98389,DATA,46.5,0.0, 0, 0,159002,1000,1000,0,0,0,""
98889,DATA,46.2,-2.1, 0, 0,160782,1000,1000,0,0,0,""
99389,DATA,46.2,0.0, 0, 0,158997,1000,1000,0,0,0,""
99889,DATA,46.2,-2.1, 0, 0,160800,1000,1000,0,0,0,""
100389,DATA,46.2,-2.1, 0, 0,158997,1000,1000,0,0,0,""
100889,DATA,46.2,0.0, 0, 0,160803,1000,1000,0,0,0,""
101389,DATA,46.2,0.0, 0, 0,159002,1000,1000,0,0,0,""
101889,DATA,46.2,0.0, 0, 0,160813,1000,1000,0,0,0,""
102389,DATA,46.2,0.0, 0, 0,158414,1000,1000,0,0,0,""
102889,DATA,46.2,0.0, 0, 0,160222,1000,1000,0,0,0,""
103389,DATA,46.2,0.0, 0, 0,159021,1000,1000,0,0,0,""
103889,DATA,46.2,0.0, 0, 0,160222,1000,1000,0,0,0,""
104389,DATA,46.2,2.1, 0, 0,159595,1000,1000,0,0,0,""
104889,DATA,46.0,-2.1, 0, 0,160210,1000,1000,0,0,0,""
105389,DATA,46.2,0.0, 0, 0,158402,1000,1000,0,0,0,""
105889,DATA,46.2,0.0, 0, 0,161397,1000,1000,0,0,0,""
106389,DATA,46.2,0.0, 0, 0,158983,1000,1000,0,0,0,""
106889,DATA,46.0,0.0, 0, 0,161382,1000,1000,0,0,0,""
107389,DATA,46.2,0.0, 0, 0,159598,1000,1000,0,0,0,""
107889,DATA,46.0,0.0, 0, 0,160781,1000,1000,0,0,0,""
108389,DATA,46.2,0.0, 0, 0,159598,1000,1000,0,0,0,""
108889,DATA,46.2,0.0, 0, 0,160795,1000,1000,0,0,0,""
109389,DATA,46.2,0.0, 0, 0,158989,1000,1000,0,0,0,""
109889,DATA,46.2,0.0, 0, 0,27602,1000,1000,0,0,0,""
110389,DATA,46.2,0.0, 0, 0, 0,1000,1000,0,0,0,""
110889,DATA,46.2,2.1, 0, 0,160792,1000,1000,0,0,0,""
111389,DATA,46.0,0.0, 0, 0,159010,1000,1000,0,0,0,""
111889,DATA,46.0,0.0, 0, 0,158989,1000,1000,0,0,0,""
112389,DATA,46.0,0.0, 0, 0,159021,1000,1000,0,0,0,""
112889,DATA,46.0,0.0, 0, 0,161413,1000,1000,0,0,0,""
113389,DATA,46.0,2.1, 0, 0,158994,1000,1000,0,0,0,""
113889,DATA,45.8,-2.1, 0, 0,160797,1000,1000,0,0,0,""
114389,DATA,45.8,-2.1, 0, 0,158994,1000,1000,0,0,0,""
114889,DATA,45.8,0.0, 0, 0,160803,1000,1000,0,0,0,""
115389,DATA,45.8,0.0, 0, 0,159000,1000,1000,0,0,0,""
115889,DATA,45.8,0.0, 0, 0,160203,1000,1000,0,0,0,""
116389,DATA,45.8,0.0, 0, 0,158994,1000,1000,0,0,0,""
116889,DATA,45.8,0.0, 0, 0,160798,1000,1000,0,0,0,""
117389,DATA,45.8,0.0, 0, 0,158992,1000,1000,0,0,0,""
117889,DATA,45.8,0.0, 0, 0,160819,1000,1000,0,0,0,""
118389,DATA,45.8,0.0, 0, 0,158390,1000,1000,0,0,0,""
118889,DATA,45.8,0.0, 0, 0,160786,1000,1000,0,0,0,""
119389,DATA,45.8,0.0, 0, 0,158989,1000,1000,0,0,0,""
119889,DATA,45.8,0.0, 0, 0,160818,1000,1000,0,0,0,""
120389,DATA,45.8,0.0, 0, 0,158989,1000,1000,0,0,0,""
120889,DATA,45.8,0.0, 0, 0,139221,1000,1000,0,0,0,""
121389,DATA,45.8,0.0, 0, 0,159022,1000,1000,0,0,0,""
121889,DATA,45.8,0.0, 0, 0,82803,1000,1000,0,0,0,""
122389,DATA,45.8,0.0, 0, 0,159578,1000,1000,0,0,0,""
122889,DATA,45.8,0.0, 0, 0,159613,1000,1000,0,0,0,""
123389,DATA,45.8,0.0, 0, 0,159582,1000,1000,0,0,0,""
123889,DATA,45.8,0.0, 0, 0,160224,1000,1000,0,0,0,""
124389,DATA,45.8,0.0, 0, 0,158979,1000,1000,0,0,0,""
124889,DATA,45.8,0.0, 0, 0,160214,1000,1000,0,0,0,""
125389,DATA,45.8,0.0, 0, 0,159013,1000,1000,0,0,0,""
125889,DATA,45.8,0.0, 0, 0,160794,1000,1000,0,0,0,""
126389,DATA,45.8,0.0, 0, 0,159003,1000,1000,0,0,0,""
126889,DATA,45.8,0.0, 0, 0,160805,1000,1000,0,0,0,""
127389,DATA,45.8,0.0, 0, 0,159600,1000,1000,0,0,0,""
127889,DATA,45.8,0.0, 0, 0,160800,1000,1000,0,0,0,""
128389,DATA,45.8,0.0, 0, 0,159003,1000,1000,0,0,0,""
128889,DATA,45.8,0.0, 0, 0,160787,1000,1000,0,0,0,""
129389,DATA,45.8,0.0, 0, 0,159608,1000,1000,0,0,0,""
129889,DATA,45.8,0.0, 0, 0,160823,1000,1000,0,0,0,""
130389,DATA,45.8,0.0, 0, 0,159011,1000,1000,0,0,0,""
130889,DATA,45.8,0.0, 0, 0,160790,1000,1000,0,0,0,""
131389,DATA,45.8,0.0, 0, 0,159582,1000,1000,0,0,0,""
131889,DATA,45.8,0.0, 0, 0,161376,1000,1000,0,0,0,""
132389,DATA,45.8,0.0, 0, 0,159011,1000,1000,0,0,0,""
132889,DATA,45.8,0.0, 0, 0,160805,1000,1000,0,0,0,""
133389,DATA,45.8,0.0, 0, 0,159581,1000,1000,0,0,0,""
133889,DATA,45.8,0.0, 0, 0,161400,1000,1000,0,0,0,""
134389,DATA,45.8,0.0, 0, 0,158992,1000,1000,0,0,0,""
134889,DATA,45.8,0.0, 0, 0,161397,1000,1000,0,0,0,""
135389,DATA,45.8,0.0, 0, 0,159584,1000,1000,0,0,0,""
135889,DATA,45.8,0.0, 0, 0,160795,1000,1000,0,0,0,""
136389,DATA,45.8,0.0, 0, 0,159119,1000,1000,0,0,0,""
136889,DATA,45.8,0.0, 0, 0,160320,1000,1000,0,0,0,""
137389,DATA,45.8,0.0, 0, 0,99651,1000,1000,0,0,0,""
137889,DATA,45.8,0.0, 0, 0,160911,1000,1000,0,0,0,""
138389,DATA,45.8,0.0, 0, 0,159100,1000,1000,0,0,0,""
138889,DATA,45.8,0.0, 0, 0,160898,1000,1000,0,0,0,""
139389,DATA,45.8,0.0, 0, 0,159110,1000,1000,0,0,0,""
139889,DATA,45.8,0.0, 0, 0,160895,1000,1000,0,0,0,""
140389,DATA,45.8,0.0, 0, 0,159709,1000,1000,0,0,0,""
140889,DATA,45.8,0.0, 0, 0,160895,1000,1000,0,0,0,""
141389,DATA,45.8,0.0, 0, 0,159083,1000,1000,0,0,0,""
141889,DATA,45.8,0.0, 0, 0,160287,1000,1000,0,0,0,""
142389,DATA,45.8,0.0, 0, 0,159111,1000,1000,0,0,0,""
142889,DATA,45.8,0.0, 0, 0,160319,1000,1000,0,0,0,""
143389,DATA,45.8,0.0, 0, 0,158516,1000,1000,0,0,0,""
143889,DATA,45.8,0.0, 0, 0,160279,1000,1000,0,0,0,""
144389,DATA,45.8,0.0, 0, 0,158513,1000,1000,0,0,0,""
144889,DATA,45.8,0.0, 0, 0,160304,1000,1000,0,0,0,""
145389,DATA,45.8,0.0, 0, 0,159688,1000,1000,0,0,0,""
145889,DATA,45.8,0.0, 0, 0,160913,1000,1000,0,0,0,""
146389,DATA,45.8,0.0, 0, 0,159094,1000,1000,0,0,0,""
146889,DATA,45.8,0.0, 0, 0,160315,1000,1000,0,0,0,""
147389,DATA,45.8,0.0, 0, 0,159094,1000,1000,0,0,0,""
147889,DATA,45.8,0.0, 0, 0,160287,1000,1000,0,0,0,""
148389,DATA,45.5,-2.1, 0, 0,159118,1000,1000,0,0,0,""
148889,DATA,45.8,0.0, 0, 0,160906,1000,1000,0,0,0,""
149389,DATA,45.8,0.0, 0, 0,159691,1000,1000,0,0,0,""
149889,DATA,45.8,0.0, 0, 0,160905,1000,1000,0,0,0,""
150389,DATA,45.8,0.0, 0, 0,159683,1000,1000,0,0,0,""
150889,DATA,45.8,2.1, 0, 0,160900,1000,1000,0,0,0,""
151389,DATA,45.8,0.0, 0, 0,158505,1000,1000,0,0,0,""
151889,DATA,45.8,0.0, 0, 0,160306,1000,1000,0,0,0,""
152389,DATA,45.8,0.0, 0, 0,159111,1000,1000,0,0,0,""
152889,DATA,45.8,0.0, 0, 0,160291,1000,1000,0,0,0,""
153389,DATA,45.5,-2.1, 0, 0,159681,1000,1000,0,0,0,""
153889,DATA,45.8,0.0, 0, 0,160888,1000,1000,0,0,0,""
154389,DATA,45.8,2.1, 0, 0,159113,1000,1000,0,0,0,""
154889,DATA,45.8,0.0, 0, 0,160874,1000,1000,0,0,0,""
