ms,type,egtC,dEgtCps,rpm,fRpm,rRpm,pumpUs,starterUs,ign,valve1,valve2,event
4861,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"BOOT SD_LOG_READY"
8902,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"EV:A05_ALL_OFF"
9010,EVENT,,, 0, 0, 0,1000,1000,0,0,0,"CONFIG_LOADED"
9073,DATA,46.0,0.0, 0, 0,76200,1000,1000,0,0,0,""
9573,DATA,46.0,-2.1, 0, 0,1200,1000,1000,0,0,0,""
10073,DATA,46.0,0.0, 0, 0,28201,1000,1000,0,0,0,""
10573,DATA,46.0,-2.1, 0, 0,159600,1000,1000,0,0,0,""
11073,DATA,46.0,0.0, 0, 0,157800,1000,1000,0,0,0,""
11573,DATA,46.0,-2.1, 0, 0,159021,1000,1000,0,0,0,""
12073,DATA,46.2,2.1, 0, 0,158405,1000,1000,0,0,0,""
12573,DATA,46.0,-2.1, 0, 0,159008,1000,1000,0,0,0,""
13073,DATA,46.0,0.0, 0, 0,157791,1000,1000,0,0,0,""
13573,DATA,46.0,0.0, 0, 0,158987,1000,1000,0,0,0,""
14073,DATA,46.2,2.1, 0, 0,157795,1000,1000,0,0,0,""
14573,DATA,46.0,0.0, 0, 0,158987,1000,1000,0,0,0,""
15073,DATA,46.0,0.0, 0, 0,157203,1000,1000,0,0,0,""
15573,DATA,46.0,0.0, 0, 0,158995,1000,1000,0,0,0,""
16073,DATA,46.0,0.0, 0, 0,157808,1000,1000,0,0,0,""
16573,DATA,46.0,0.0, 0, 0,158994,1000,1000,0,0,0,""
16962,EVENT,46.0,0.0, 0, 0,157198,1000,1000,0,0,0,"STARTER 1200"
17082,DATA,46.0,0.0,60,60,115401,1000,1026,0,0,0,""
17602,DATA,44.0,-10.4,1402,932,1000,1000,1147,0,0,0,""
18102,DATA,44.7,-2.1,3961,3365, 0,1000,1200,0,0,0,""
18602,DATA,44.0,-16.7,4682,4486, 0,1000,1200,0,0,0,""
19102,DATA,45.0,6.2,4649,4712,600,1000,1200,0,0,0,""
19602,DATA,45.0,2.1,3716,3871,1200,1000,1200,0,0,0,""
