ms,type,mode,stage,egtC,dEgtCps,rpm,targetRpm,pumpUs,flowMlMin,fuelTargetUs,starterUs,ign,valve1,valve2,throttlePct,abortReason,event
4236,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT SD_LOG_READY"
4237,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT Test ECU V1 WebUI/TestWizard"
4343,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","WEB ON ECU_TestV1 http://192.168.4.1"
43050,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST EGT PASS - EGT OK 33.2C"
45485,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST RPM_NOISE FAIL - RNOISE=REST_NOISE raw=288 rej=6 jit=30.7%"
51673,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST RPM_NOISE FAIL - RNOISE=REST_NOISE raw=298 rej=0 jit=7.1%"
52185,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST RPM_NOISE FAIL - RNOISE=REST_NOISE raw=298 rej=0 jit=7.1%"
54202,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST RPM_NOISE FAIL - RNOISE=REST_NOISE raw=297 rej=0 jit=7.2%"
57018,DATA,WAITING,NONE,33.2,0.0,184049,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
57012,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
57013,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1200,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
57518,DATA,WAITING,NONE,33.5,12.5,2924,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
58018,DATA,WAITING,NONE,31.8,-14.6,131,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
58518,DATA,WAITING,NONE,30.8,-8.3,560,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
59018,DATA,WAITING,NONE,33.0,-2.1,591,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
59518,DATA,WAITING,NONE,33.2,-2.1,481,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
60018,DATA,WAITING,NONE,33.2,0.0,410,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
60518,DATA,WAITING,NONE,33.2,-2.1,334,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
61018,DATA,WAITING,NONE,33.2,0.0,278,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
61518,DATA,WAITING,NONE,33.2,0.0,215,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
62013,EVENT,WAITING,NONE,33.2,0.0,180,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER FAIL - RPM/RNOISE bad: RPM=180 RNOISE=CLEAN"
74133,DATA,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
74128,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
74129,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1200,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
74633,DATA,WAITING,NONE,32.0,2.1,1454,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
75133,DATA,WAITING,NONE,32.0,0.0,1939,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
75633,DATA,WAITING,NONE,31.8,0.0,2081,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
76133,DATA,WAITING,NONE,,,2147,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
76633,DATA,WAITING,NONE,32.0,2.0,2179,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
77133,DATA,WAITING,NONE,32.0,0.0,2180,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
77633,DATA,WAITING,NONE,32.0,0.0,2220,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
78133,DATA,WAITING,NONE,31.8,0.0,2223,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
78633,DATA,WAITING,NONE,32.0,2.1,2239,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
79129,EVENT,WAITING,NONE,31.8,0.0,2235,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER PASS - RPM=2235 RNOISE=WARN"
81962,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST RPM_NOISE FAIL - RNOISE=REST_NOISE raw=1 rej=0 jit=0.0%"
89469,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST RPM_NOISE FAIL - RNOISE=REST_NOISE raw=129 rej=129 jit=0.0%"
93984,DATA,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
93978,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START IGN_PULSE"
93979,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE","TEST IGN_PULSE RUNNING - Running"
94484,DATA,WAITING,NONE,33.2,0.0,173913,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
94980,EVENT,WAITING,NONE,33.2,0.0,211268,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST IGN_PULSE PASS - IGN pulse completed"
102929,DATA,WAITING,NONE,33.2,-1.9, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
102924,EVENT,WAITING,NONE,33.2,-1.9, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START IGN_PULSE"
102925,EVENT,WAITING,NONE,33.2,-1.9, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE","TEST IGN_PULSE RUNNING - Running"
103429,DATA,WAITING,NONE,33.2,0.0,181269,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
103925,EVENT,WAITING,NONE,33.2,0.0,180723,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST IGN_PULSE PASS - IGN pulse completed"
113382,DATA,WAITING,NONE,33.2,-1.9, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
113376,EVENT,WAITING,NONE,33.2,-1.9, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START IGN_PULSE"
113377,EVENT,WAITING,NONE,33.2,-1.9, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE","TEST IGN_PULSE RUNNING - Running"
113882,DATA,WAITING,NONE,33.2,-2.1,272727,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
114378,EVENT,WAITING,NONE,33.2,0.0,175439,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST IGN_PULSE PASS - IGN pulse completed"
133196,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","CHECKLIST RESET"
134776,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST EGT PASS - EGT OK 33.2C"
136448,DATA,WAITING,NONE,33.2,0.0,225564,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
136442,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
136443,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1200,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
136948,DATA,WAITING,NONE,33.2,12.5,3240,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
137448,DATA,WAITING,NONE,33.2,0.0,141,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
137948,DATA,WAITING,NONE,32.0,-10.4,345,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
138448,DATA,WAITING,NONE,31.8,0.0,1590,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
138948,DATA,WAITING,NONE,32.0,2.1,1963,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
139448,DATA,WAITING,NONE,31.8,0.0,2075,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
139956,DATA,WAITING,NONE,31.8,0.0,2118,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
140456,DATA,WAITING,NONE,32.0,0.0,2120,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
140956,DATA,WAITING,NONE,32.0,2.1,2133,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
141444,EVENT,WAITING,NONE,31.8,0.0,2140,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER PASS - RPM=2140 RNOISE=WARN"
144774,DATA,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
144769,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START IGN_PULSE"
144770,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,1,0,0,0,"NONE","TEST IGN_PULSE RUNNING - Running"
145274,DATA,WAITING,NONE,33.2,0.0,758,0,1000,0.0,1000,1000,1,0,0,0,"NONE",""
