ms,type,mode,stage,egtC,dEgtCps,rpm,targetRpm,pumpUs,flowMlMin,fuelTargetUs,starterUs,ign,valve1,valve2,throttlePct,abortReason,event
1062,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT SD_LOG_READY"
1110,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT Test ECU V1 WebUI/TestWizard"
1249,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","WEB ON ECU_TestV1 http://192.168.4.1"
124964,EVENT,WAITING,NONE,32.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
148284,EVENT,WAITING,NONE,32.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
175324,EVENT,WAITING,NONE,32.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
185484,EVENT,WAITING,NONE,32.7,-1.8, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
242864,EVENT,WAITING,NONE,32.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
244504,EVENT,WAITING,NONE,32.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START PUMP_PRIME"
244565,EVENT,WAITING,NONE,32.7,0.0, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE","TEST PUMP_PRIME RUNNING - Running"
244620,DATA,WAITING,NONE,32.7,0.0, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
245122,DATA,WAITING,NONE,32.2,0.0, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
245642,DATA,WAITING,NONE,32.0,-2.1, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
246082,EVENT,WAITING,NONE,32.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST PUMP_PRIME PASS - Pump prime completed at 1160us"
370764,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
396044,EVENT,WAITING,NONE,33.5,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
423444,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
432918,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
520326,EVENT,WAITING,NONE,33.5,1.6, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
521766,EVENT,WAITING,NONE,33.5,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
521816,EVENT,WAITING,NONE,33.5,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
521875,DATA,WAITING,NONE,33.2,-1.3,9756,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
522382,DATA,WAITING,NONE,33.2,0.0,1489,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
522902,DATA,WAITING,NONE,33.5,1.8,206186,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
523422,DATA,WAITING,NONE,33.5,0.0,252101,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
523942,DATA,WAITING,NONE,33.5,0.0,88757,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
524462,DATA,WAITING,NONE,33.5,0.0,14517,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
524863,EVENT,WAITING,NONE,33.5,0.0,212014,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER FAIL - RPM/RNOISE bad: RPM=212014 RNOISE=NOISY"
535624,EVENT,WAITING,NONE,33.5,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
549744,EVENT,WAITING,NONE,33.2,-2.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
657104,EVENT,WAITING,NONE,33.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
681744,EVENT,WAITING,NONE,33.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
684498,EVENT,WAITING,NONE,33.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START PUMP_PRIME"
684565,EVENT,WAITING,NONE,33.0,0.0, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE","TEST PUMP_PRIME RUNNING - Running"
684614,DATA,WAITING,NONE,33.0,0.0,113852,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
685142,DATA,WAITING,NONE,33.0,0.0,125,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
685662,DATA,WAITING,NONE,33.0,1.7,119,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
686102,EVENT,WAITING,NONE,33.0,0.0,119,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST PUMP_PRIME PASS - Pump prime completed at 1160us"
786138,EVENT,WAITING,NONE,33.5,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
790784,EVENT,WAITING,NONE,33.5,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START PUMP_PRIME"
790845,EVENT,WAITING,NONE,33.5,0.0, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE","TEST PUMP_PRIME RUNNING - Running"
790894,DATA,WAITING,NONE,33.5,0.0,4753,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
791402,DATA,WAITING,NONE,33.2,0.0,749,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
791922,DATA,WAITING,NONE,33.2,0.0,6027,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
792382,EVENT,WAITING,NONE,33.5,2.1,5090,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST PUMP_PRIME PASS - Pump prime completed at 1160us"
795418,EVENT,WAITING,NONE,33.5,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START PUMP_PRIME"
795479,EVENT,WAITING,NONE,33.5,0.0, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE","TEST PUMP_PRIME RUNNING - Running"
795528,DATA,WAITING,NONE,33.5,0.0,9919,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
796042,DATA,WAITING,NONE,33.5,0.0,19861,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
796562,DATA,WAITING,NONE,33.2,-1.7,11628,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
797042,EVENT,WAITING,NONE,33.2,-1.8,1490,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST PUMP_PRIME PASS - Pump prime completed at 1160us"
799844,EVENT,WAITING,NONE,33.5,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
874326,EVENT,WAITING,NONE,33.2,1.8, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","CHECKLIST RESET"
876086,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
878306,EVENT,WAITING,NONE,33.0,-1.7, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST EGT PASS - EGT OK 33.0C"
880250,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
881826,EVENT,WAITING,NONE,33.2,1.8, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST RPM_NOISE PASS - RNOISE=NO_SIGNAL raw=0 rej=0 jit=0.0%"
885026,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
889466,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START VALVE_1"
889522,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,1,0,0,"NONE","TEST VALVE_1 RUNNING - Running"
889574,DATA,WAITING,NONE,33.0,-2.0, 0,0,1000,0.0,1000,1000,0,1,0,0,"NONE",""
890102,DATA,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,1,0,0,"NONE",""
890582,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST VALVE_1 PASS - Valve 1 pulse completed"
890986,EVENT,WAITING,NONE,33.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
892186,EVENT,WAITING,NONE,33.0,-2.1, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START VALVE_2"
892231,EVENT,WAITING,NONE,33.0,-2.1, 0,0,1000,0.0,1000,1000,0,0,1,0,"NONE","TEST VALVE_2 RUNNING - Running"
892284,DATA,WAITING,NONE,33.2,1.4, 0,0,1000,0.0,1000,1000,0,0,1,0,"NONE",""
892822,DATA,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,1,0,"NONE",""
893302,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST VALVE_2 PASS - Valve 2 pulse completed"
893586,EVENT,WAITING,NONE,33.2,1.7, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
896046,EVENT,WAITING,NONE,33.0,-1.7, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START PUMP_PRIME"
896107,EVENT,WAITING,NONE,33.0,-1.7, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE","TEST PUMP_PRIME RUNNING - Running"
896160,DATA,WAITING,NONE,33.0,0.0, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
896682,DATA,WAITING,NONE,33.0,0.0, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
897202,DATA,WAITING,NONE,33.0,0.0, 0,0,1160,50.0,1160,1000,0,1,1,0,"NONE",""
897643,EVENT,WAITING,NONE,33.0,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST PUMP_PRIME PASS - Pump prime completed at 1160us"
898324,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
899606,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
902924,EVENT,WAITING,NONE,33.0,-1.7, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
902974,EVENT,WAITING,NONE,33.0,-1.7, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
903023,DATA,WAITING,NONE,33.2,1.6, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
903542,DATA,WAITING,NONE,33.2,2.1, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
904062,DATA,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
904582,DATA,WAITING,NONE,33.2,1.7, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
905102,DATA,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
905622,DATA,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1150,0,0,0,0,"NONE",""
906043,EVENT,WAITING,NONE,33.2,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER FAIL - RPM/RNOISE bad: RPM= 0 RNOISE=NO_SIGNAL"
