ms,type,mode,stage,egtC,dEgtCps,rpm,targetRpm,pumpUs,flowMlMin,fuelTargetUs,starterUs,ign,valve1,valve2,throttlePct,abortReason,event
1928,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT SD_LOG_READY"
1929,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT Test ECU V1 WebUI/TestWizard"
2037,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","WEB ON ECU_TestV1 http://192.168.4.1"
40465,EVENT,WAITING,NONE,31.8,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
51425,EVENT,WAITING,NONE,31.5,-2.1, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
54205,EVENT,WAITING,NONE,31.8,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
66718,EVENT,WAITING,NONE,31.8,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
73045,EVENT,WAITING,NONE,30.8,-1.7, 0,0,1000,0.0,1000,1200,0,0,0,0,"NONE","ARMED 10s"
190258,EVENT,WAITING,NONE,31.8,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
195745,EVENT,WAITING,NONE,30.8,0.0,1499,0,1000,0.0,1000,1200,0,0,0,0,"NONE","ARMED 10s"
205325,EVENT,WAITING,NONE,30.8,0.0,1501,0,1000,0.0,1000,1200,0,0,0,0,"NONE","ARMED 10s"
215205,EVENT,WAITING,NONE,30.8,0.0,1500,0,1000,0.0,1000,1200,0,0,0,0,"NONE","ARMED 10s"
225865,EVENT,WAITING,NONE,30.8,0.0,1501,0,1000,0.0,1000,1200,0,0,0,0,"NONE","ARMED 10s"
300865,EVENT,WAITING,NONE,31.8,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
304205,EVENT,WAITING,NONE,30.8,0.0,1500,0,1000,0.0,1000,1200,0,0,0,0,"NONE","ARMED 10s"
313405,EVENT,WAITING,NONE,30.8,0.0,1499,0,1000,0.0,1000,1200,0,0,0,0,"NONE","ARMED 10s"
554125,EVENT,WAITING,NONE,31.8,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
567798,EVENT,WAITING,NONE,31.8,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
572538,EVENT,WAITING,NONE,30.5,-1.7, 0,0,1000,0.0,1000,1200,0,0,0,0,"NONE","ARMED 10s"
