ms,type,mode,stage,egtC,dEgtCps,rpm,targetRpm,pumpUs,flowMlMin,fuelTargetUs,starterUs,ign,valve1,valve2,throttlePct,abortReason,event
1759,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT SD_LOG_READY"
1759,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","BOOT Test ECU V1 WebUI/TestWizard"
1877,EVENT,WAITING,NONE,,, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","WEB ON ECU_TestV1 http://192.168.4.1"
25938,EVENT,WAITING,NONE,32.7,1.7, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
26942,DATA,WAITING,NONE,32.5,0.0,600,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
26866,EVENT,WAITING,NONE,32.5,-1.9, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START STARTER"
26902,EVENT,WAITING,NONE,32.5,-1.9, 0,0,1000,0.0,1000,1200,0,0,0,0,"NONE","TEST STARTER RUNNING - Running"
27442,DATA,WAITING,NONE,31.5,1.9,4398,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
27942,DATA,WAITING,NONE,31.5,-3.4,108,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
28462,DATA,WAITING,NONE,31.5,0.0,100,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
28982,DATA,WAITING,NONE,31.5,0.0,250,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
29482,DATA,WAITING,NONE,31.5,0.0,500,0,1000,0.0,1000,1200,0,0,0,0,"NONE",""
29942,EVENT,WAITING,NONE,31.5,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST STARTER FAIL - RPM/RNOISE bad: RPM= 0 RNOISE=REST_NOISE"
37325,EVENT,WAITING,NONE,32.5,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
37885,EVENT,WAITING,NONE,32.7,0.0, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST EGT PASS - EGT OK 32.7C"
57926,EVENT,WAITING,NONE,32.5,-1.9, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST EGT PASS - EGT OK 32.5C"
61865,EVENT,WAITING,NONE,32.7,1.9, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
62802,DATA,WAITING,NONE,32.7,1.7, 0,0,1210,166.3,1210,1000,0,0,1,0,"NONE",""
62726,EVENT,WAITING,NONE,32.7,1.7, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST START PUMP_PRIME"
62762,EVENT,WAITING,NONE,32.7,1.7, 0,0,1210,166.3,1210,1000,0,0,1,0,"NONE","TEST PUMP_PRIME RUNNING - Running"
63302,DATA,WAITING,NONE,32.7,0.0,750,0,1210,166.3,1210,1000,0,0,1,0,"NONE",""
63802,DATA,WAITING,NONE,32.7,0.0,500,0,1210,166.3,1210,1000,0,0,1,0,"NONE",""
64322,EVENT,WAITING,NONE,32.7,2.1,504,0,1000,0.0,1000,1000,0,0,0,0,"NONE","TEST PUMP_PRIME PASS - Pump prime completed at 1210us"
68685,EVENT,WAITING,NONE,32.5,-1.9, 0,0,1000,0.0,1000,1000,0,0,0,0,"NONE","ARMED 10s"
